"11226:鳩ケ谷市","ハトガヤシ"
"10522:邑楽郡明和町","オウラグンメイワマチ"
"10523:邑楽郡千代田町","オウラグンチヨダマチ"
"10524:邑楽郡大泉町","オウラグンオオイズミマチ"
"10525:邑楽郡邑楽町","オウラグンオウラマチ"
"11101:さいたま市西区","サイタマシニシク"
"11102:さいたま市北区","サイタマシキタク"
"11103:さいたま市大宮区","サイタマシオオミヤク"
"11104:さいたま市見沼区","サイタマシミヌマク"
"11105:さいたま市中央区","サイタマシチュウオウク"
"11106:さいたま市桜区","サイタマシサクラク"
"11107:さいたま市浦和区","サイタマシウラワク"
"11108:さいたま市南区","サイタマシミナミク"
"11109:さいたま市緑区","サイタマシミドリク"
"11110:さいたま市岩槻区","サイタマシイワツキク"
"11201:川越市","カワゴエシ"
"11202:熊谷市","クマガヤシ"
"11203:川口市","カワグチシ"
"11206:行田市","ギョウダシ"
"11207:秩父市","チチブシ"
"11208:所沢市","トコロザワシ"
"11209:飯能市","ハンノウシ"
"11210:加須市","カゾシ"
"11211:本庄市","ホンジョウシ"
"11212:東松山市","ヒガシマツヤマシ"
"11214:春日部市","カスカベシ"
"11215:狭山市","サヤマシ"
"11216:羽生市","ハニュウシ"
"11217:鴻巣市","コウノスシ"
"11218:深谷市","フカヤシ"
"11219:上尾市","アゲオシ"
"11221:草加市","ソウカシ"
"11222:越谷市","コシガヤシ"
"11223:蕨市","ワラビシ"
"11224:戸田市","トダシ"
"11225:入間市","イルマシ"
"11226:鳩ヶ谷市","ハトガヤシ"
"11227:朝霞市","アサカシ"
"11228:志木市","シキシ"
"11229:和光市","ワコウシ"
"11230:新座市","ニイザシ"
"11231:桶川市","オケガワシ"
"11232:久喜市","クキシ"
"11233:北本市","キタモトシ"
"11234:八潮市","ヤシオシ"
"11235:富士見市","フジミシ"
"11237:三郷市","ミサトシ"
"11238:蓮田市","ハスダシ"
"11239:坂戸市","サカドシ"
"11240:幸手市","サッテシ"
"11241:鶴ヶ島市","ツルガシマシ"
"11242:日高市","ヒダカシ"
"11243:吉川市","ヨシカワシ"
"11245:ふじみ野市","フジミノシ"
"11301:北足立郡伊奈町","キタアダチグンイナマチ"
"11324:入間郡三芳町","イルマグンミヨシマチ"
"11326:入間郡毛呂山町","イルマグンモロヤママチ"
"11327:入間郡越生町","イルマグンオゴセマチ"
"11341:比企郡滑川町","ヒキグンナメガワマチ"
"11342:比企郡嵐山町","ヒキグンランザンマチ"
"11343:比企郡小川町","ヒキグンオガワマチ"
"11346:比企郡川島町","ヒキグンカワジママチ"
"11347:比企郡吉見町","ヒキグンヨシミマチ"
"11348:比企郡鳩山町","ヒキグンハトヤママチ"
"11349:比企郡ときがわ町","ヒキグントキガワマチ"
"11361:秩父郡横瀬町","チチブグンヨコゼマチ"
"11362:秩父郡皆野町","チチブグンミナノマチ"
"11363:秩父郡長瀞町","チチブグンナガトロマチ"
"11365:秩父郡小鹿野町","チチブグンオガノマチ"
"11369:秩父郡東秩父村","チチブグンヒガシチチブムラ"
"11381:児玉郡美里町","コダマグンミサトマチ"
"11383:児玉郡神川町","コダマグンカミカワマチ"
"11385:児玉郡上里町","コダマグンカミサトマチ"
"11408:大里郡寄居町","オオサトグンヨリイマチ"
"11442:南埼玉郡宮代町","ミナミサイタマグンミヤシロマチ"
"11445:南埼玉郡白岡町","ミナミサイタマグンシラオカマチ"
"11464:北葛飾郡杉戸町","キタカツシカグンスギトマチ"
"11465:北葛飾郡松伏町","キタカツシカグンマツブシマチ"
"12101:千葉市中央区","チバシチュウオウク"
"12102:千葉市花見川区","チバシハナミガワク"
"12103:千葉市稲毛区","チバシイナゲク"
"12104:千葉市若葉区","チバシワカバク"
"12105:千葉市緑区","チバシミドリク"
"12106:千葉市美浜区","チバシミハマク"
"12202:銚子市","チョウシシ"
"12203:市川市","イチカワシ"
"12204:船橋市","フナバシシ"
"12205:館山市","タテヤマシ"
"12206:木更津市","キサラヅシ"
"12207:松戸市","マツドシ"
"12208:野田市","ノダシ"
"12210:茂原市","モバラシ"
"12211:成田市","ナリタシ"
"12212:佐倉市","サクラシ"
"12213:東金市","トウガネシ"
"12215:旭市","アサヒシ"
"12216:習志野市","ナラシノシ"
"12217:柏市","カシワシ"
"12218:勝浦市","カツウラシ"
"12219:市原市","イチハラシ"
"12220:流山市","ナガレヤマシ"
"12221:八千代市","ヤチヨシ"
"12222:我孫子市","アビコシ"
"12223:鴨川市","カモガワシ"
"12224:鎌ケ谷市","カマガヤシ"
"12225:君津市","キミツシ"
"12226:富津市","フッツシ"
"12227:浦安市","ウラヤスシ"
"12228:四街道市","ヨツカイドウシ"
"12229:袖ケ浦市","ソデガウラシ"
"12230:八街市","ヤチマタシ"
"12231:印西市","インザイシ"
"12232:白井市","シロイシ"
"12233:富里市","トミサトシ"
"12234:南房総市","ミナミボウソウシ"
"12235:匝瑳市","ソウサシ"
"12236:香取市","カトリシ"
"12237:山武市","サンムシ"
"12238:いすみ市","イスミシ"
"12322:印旛郡酒々井町","インバグンシスイマチ"
"12329:印旛郡栄町","インバグンサカエマチ"
"12342:香取郡神崎町","カトリグンコウザキマチ"
"12347:香取郡多古町","カトリグンタコマチ"
"12349:香取郡東庄町","カトリグントウノショウマチ"
"12402:山武郡大網白里町","サンブグンオオアミシラサトマチ"
"12403:山武郡九十九里町","サンブグンクジュウクリマチ"
"12409:山武郡芝山町","サンブグンシバヤママチ"
"12410:山武郡横芝光町","サンブグンヨコシバヒカリマチ"
"12421:長生郡一宮町","チョウセイグンイチノミヤマチ"
"12422:長生郡睦沢町","チョウセイグンムツザワマチ"
"12423:長生郡長生村","チョウセイグンチョウセイムラ"
"12424:長生郡白子町","チョウセイグンシラコマチ"
"12426:長生郡長柄町","チョウセイグンナガラマチ"
"12427:長生郡長南町","チョウセイグンチョウナンマチ"
"12441:夷隅郡大多喜町","イスミグンオオタキマチ"
"12443:夷隅郡御宿町","イスミグンオンジュクマチ"
"12463:安房郡鋸南町","アワグンキョナンマチ"
"13101:千代田区","チヨダク"
"13102:中央区","チュウオウク"
"13103:港区","ミナトク"
"13104:新宿区","シンジュクク"
"13105:文京区","ブンキョウク"
"13106:台東区","タイトウク"
"13107:墨田区","スミダク"
"13108:江東区","コウトウク"
"13109:品川区","シナガワク"
"13110:目黒区","メグロク"
"13111:大田区","オオタク"
"13112:世田谷区","セタガヤク"
"13113:渋谷区","シブヤク"
"13114:中野区","ナカノク"
"13115:杉並区","スギナミク"
"13116:豊島区","トシマク"
"13117:北区","キタク"
"13118:荒川区","アラカワク"
"13119:板橋区","イタバシク"
"13120:練馬区","ネリマク"
"13121:足立区","アダチク"
"13122:葛飾区","カツシカク"
"13123:江戸川区","エドガワク"
"13201:八王子市","ハチオウジシ"
"13202:立川市","タチカワシ"
"13203:武蔵野市","ムサシノシ"
"13204:三鷹市","ミタカシ"
"13205:青梅市","オウメシ"
"13206:府中市","フチュウシ"
"13207:昭島市","アキシマシ"
"13208:調布市","チョウフシ"
"13209:町田市","マチダシ"
"13210:小金井市","コガネイシ"
"13211:小平市","コダイラシ"
"13212:日野市","ヒノシ"
"13213:東村山市","ヒガシムラヤマシ"
"13214:国分寺市","コクブンジシ"
"13215:国立市","クニタチシ"
"13218:福生市","フッサシ"
"13219:狛江市","コマエシ"
"13220:東大和市","ヒガシヤマトシ"
"13221:清瀬市","キヨセシ"
"13222:東久留米市","ヒガシクルメシ"
"13223:武蔵村山市","ムサシムラヤマシ"
"13224:多摩市","タマシ"
"13225:稲城市","イナギシ"
"13227:羽村市","ハムラシ"
"13228:あきる野市","アキルノシ"
"13229:西東京市","ニシトウキョウシ"
"13303:西多摩郡瑞穂町","ニシタマグンミズホマチ"
"13305:西多摩郡日の出町","ニシタマグンヒノデマチ"
"13307:西多摩郡檜原村","ニシタマグンヒノハラムラ"
"13308:西多摩郡奥多摩町","ニシタマグンオクタママチ"
"13361:大島町","オオシママチ"
"13362:利島村","トシマムラ"
"13363:新島村","ニイジマムラ"
"13364:神津島村","コウヅシマムラ"
"13381:三宅島三宅村","ミヤケジマミヤケムラ"
"13382:御蔵島村","ミクラジマムラ"
"13401:八丈島八丈町","ハチジョウジマハチジョウマチ"
"13402:青ヶ島村","アオガシマムラ"
"13421:小笠原村","オガサワラムラ"
"14101:横浜市鶴見区","ヨコハマシツルミク"
"14102:横浜市神奈川区","ヨコハマシカナガワク"
"14103:横浜市西区","ヨコハマシニシク"
"14104:横浜市中区","ヨコハマシナカク"
"14105:横浜市南区","ヨコハマシミナミク"
"14106:横浜市保土ケ谷区","ヨコハマシホドガヤク"
"14107:横浜市磯子区","ヨコハマシイソゴク"
"14108:横浜市金沢区","ヨコハマシカナザワク"
"14109:横浜市港北区","ヨコハマシコウホクク"
"14110:横浜市戸塚区","ヨコハマシトツカク"
"14111:横浜市港南区","ヨコハマシコウナンク"
"14112:横浜市旭区","ヨコハマシアサヒク"
"14113:横浜市緑区","ヨコハマシミドリク"
"14114:横浜市瀬谷区","ヨコハマシセヤク"
"14115:横浜市栄区","ヨコハマシサカエク"
"14116:横浜市泉区","ヨコハマシイズミク"
"14117:横浜市青葉区","ヨコハマシアオバク"
"14118:横浜市都筑区","ヨコハマシツヅキク"
"14131:川崎市川崎区","カワサキシカワサキク"
"14132:川崎市幸区","カワサキシサイワイク"
"14133:川崎市中原区","カワサキシナカハラク"
"14134:川崎市高津区","カワサキシタカツク"
"14135:川崎市多摩区","カワサキシタマク"
"14136:川崎市宮前区","カワサキシミヤマエク"
"14137:川崎市麻生区","カワサキシアサオク"
"14151:相模原市緑区","サガミハラシミドリク"
"14152:相模原市中央区","サガミハラシチュウオウク"
"14153:相模原市南区","サガミハラシミナミク"
"14201:横須賀市","ヨコスカシ"
"14203:平塚市","ヒラツカシ"
"14204:鎌倉市","カマクラシ"
"14205:藤沢市","フジサワシ"
"14206:小田原市","オダワラシ"
"14207:茅ヶ崎市","チガサキシ"
"14208:逗子市","ズシシ"
"14210:三浦市","ミウラシ"
"14211:秦野市","ハダノシ"
"14212:厚木市","アツギシ"
"14213:大和市","ヤマトシ"
"14214:伊勢原市","イセハラシ"
"14215:海老名市","エビナシ"
"14216:座間市","ザマシ"
"14217:南足柄市","ミナミアシガラシ"
"14218:綾瀬市","アヤセシ"
"14301:三浦郡葉山町","ミウラグンハヤママチ"
"14321:高座郡寒川町","コウザグンサムカワマチ"
"14341:中郡大磯町","ナカグンオオイソマチ"
"14342:中郡二宮町","ナカグンニノミヤマチ"
"14361:足柄上郡中井町","アシガラカミグンナカイマチ"
"14362:足柄上郡大井町","アシガラカミグンオオイマチ"
"14363:足柄上郡松田町","アシガラカミグンマツダマチ"
"14364:足柄上郡山北町","アシガラカミグンヤマキタマチ"
"14366:足柄上郡開成町","アシガラカミグンカイセイマチ"
"14382:足柄下郡箱根町","アシガラシモグンハコネマチ"
"14383:足柄下郡真鶴町","アシガラシモグンマナヅルマチ"
"14384:足柄下郡湯河原町","アシガラシモグンユガワラマチ"
"14401:愛甲郡愛川町","アイコウグンアイカワマチ"
"14402:愛甲郡清川村","アイコウグンキヨカワムラ"
"15101:新潟市北区","ニイガタシキタク"
"15102:新潟市東区","ニイガタシヒガシク"
"15103:新潟市中央区","ニイガタシチュウオウク"
"15104:新潟市江南区","ニイガタシコウナンク"
"15105:新潟市秋葉区","ニイガタシアキハク"
"15106:新潟市南区","ニイガタシミナミク"
"15107:新潟市西区","ニイガタシニシク"
"15108:新潟市西蒲区","ニイガタシニシカンク"
"15202:長岡市","ナガオカシ"
"15204:三条市","サンジョウシ"
"15205:柏崎市","カシワザキシ"
"15206:新発田市","シバタシ"
"15208:小千谷市","オヂヤシ"
"15209:加茂市","カモシ"
"15210:十日町市","トオカマチシ"
"15211:見附市","ミツケシ"
"15212:村上市","ムラカミシ"
"15213:燕市","ツバメシ"
"15216:糸魚川市","イトイガワシ"
"15217:妙高市","ミョウコウシ"
"15218:五泉市","ゴセンシ"
"15222:上越市","ジョウエツシ"
"15223:阿賀野市","アガノシ"
"15224:佐渡市","サドシ"
"15225:魚沼市","ウオヌマシ"
"15226:南魚沼市","ミナミウオヌマシ"
"15227:胎内市","タイナイシ"
"15307:北蒲原郡聖籠町","キタカンバラグンセイロウマチ"
"15342:西蒲原郡弥彦村","ニシカンバラグンヤヒコムラ"
"15361:南蒲原郡田上町","ミナミカンバラグンタガミマチ"
"15385:東蒲原郡阿賀町","ヒガシカンバラグンアガマチ"
"15405:三島郡出雲崎町","サントウグンイズモザキマチ"
"15461:南魚沼郡湯沢町","ミナミウオヌマグンユザワマチ"
"15482:中魚沼郡津南町","ナカウオヌマグンツナンマチ"
"15504:刈羽郡刈羽村","カリワグンカリワムラ"
"15581:岩船郡関川村","イワフネグンセキカワムラ"
"15586:岩船郡粟島浦村","イワフネグンアワシマウラムラ"
"16201:富山市","トヤマシ"
"16202:高岡市","タカオカシ"
"16204:魚津市","ウオヅシ"
"16205:氷見市","ヒミシ"
"16206:滑川市","ナメリカワシ"
"16207:黒部市","クロベシ"
"16208:砺波市","トナミシ"
"16209:小矢部市","オヤベシ"
"16210:南砺市","ナントシ"
"16211:射水市","イミズシ"
"16321:中新川郡舟橋村","ナカニイカワグンフナハシムラ"
"16322:中新川郡上市町","ナカニイカワグンカミイチマチ"
"16323:中新川郡立山町","ナカニイカワグンタテヤママチ"
"16342:下新川郡入善町","シモニイカワグンニュウゼンマチ"
"16343:下新川郡朝日町","シモニイカワグンアサヒマチ"
"17201:金沢市","カナザワシ"
"17202:七尾市","ナナオシ"
"17203:小松市","コマツシ"
"17204:輪島市","ワジマシ"
"17205:珠洲市","スズシ"
"17206:加賀市","カガシ"
"17207:羽咋市","ハクイシ"
"17209:かほく市","カホクシ"
"17210:白山市","ハクサンシ"
"17211:能美市","ノミシ"
"17324:能美郡川北町","ノミグンカワキタマチ"
"17344:石川郡野々市町","イシカワグンノノイチマチ"
"17361:河北郡津幡町","カホクグンツバタマチ"
"17365:河北郡内灘町","カホクグンウチナダマチ"
"17384:羽咋郡志賀町","ハクイグンシカマチ"
"17386:羽咋郡宝達志水町","ハクイグンホウダツシミズチョウ"
"17407:鹿島郡中能登町","カシマグンナカノトマチ"
"17461:鳳珠郡穴水町","ホウスグンアナミズマチ"
"17463:鳳珠郡能登町","ホウスグンノトチョウ"
"18201:福井市","フクイシ"
"18202:敦賀市","ツルガシ"
"18204:小浜市","オバマシ"
"18205:大野市","オオノシ"
"18206:勝山市","カツヤマシ"
"18207:鯖江市","サバエシ"
"18208:あわら市","アワラシ"
"18209:越前市","エチゼンシ"
"18210:坂井市","サカイシ"
"18322:吉田郡永平寺町","ヨシダグンエイヘイジチョウ"
"18382:今立郡池田町","イマダテグンイケダチョウ"
"18404:南条郡南越前町","ナンジョウグンミナミエチゼンチョウ"
"18423:丹生郡越前町","ニュウグンエチゼンチョウ"
"18442:三方郡美浜町","ミカタグンミハマチョウ"
"18481:大飯郡高浜町","オオイグンタカハマチョウ"
"18483:大飯郡おおい町","オオイグンオオイチョウ"
"18501:三方上中郡若狭町","ミカタカミナカグンワカサチョウ"
"19201:甲府市","コウフシ"
"19202:富士吉田市","フジヨシダシ"
"19204:都留市","ツルシ"
"19205:山梨市","ヤマナシシ"
"19206:大月市","オオツキシ"
"19207:韮崎市","ニラサキシ"
"19208:南アルプス市","ミナミアルプスシ"
"19209:北杜市","ホクトシ"
"19210:甲斐市","カイシ"
"19211:笛吹市","フエフキシ"
"19212:上野原市","ウエノハラシ"
"19213:甲州市","コウシュウシ"
"19214:中央市","チュウオウシ"
"19346:西八代郡市川三郷町","ニシヤツシログンイチカワミサトチョウ"
"19364:南巨摩郡早川町","ミナミコマグンハヤカワチョウ"
"19365:南巨摩郡身延町","ミナミコマグンミノブチョウ"
"19366:南巨摩郡南部町","ミナミコマグンナンブチョウ"
"19368:南巨摩郡富士川町","ミナミコマグンフジカワチョウ"
"19384:中巨摩郡昭和町","ナカコマグンショウワチョウ"
"19422:南都留郡道志村","ミナミツルグンドウシムラ"
"19423:南都留郡西桂町","ミナミツルグンニシカツラチョウ"
"19424:南都留郡忍野村","ミナミツルグンオシノムラ"
"19425:南都留郡山中湖村","ミナミツルグンヤマナカコムラ"
"19429:南都留郡鳴沢村","ミナミツルグンナルサワムラ"
"19430:南都留郡富士河口湖町","ミナミツルグンフジカワグチコマチ"
"19442:北都留郡小菅村","キタツルグンコスゲムラ"
"19443:北都留郡丹波山村","キタツルグンタバヤマムラ"
"20201:長野市","ナガノシ"
"20202:松本市","マツモトシ"
"20203:上田市","ウエダシ"
"20204:岡谷市","オカヤシ"
"20205:飯田市","イイダシ"
"20206:諏訪市","スワシ"
"20207:須坂市","スザカシ"
"20208:小諸市","コモロシ"
"20209:伊那市","イナシ"
"20210:駒ヶ根市","コマガネシ"
"20211:中野市","ナカノシ"
"20212:大町市","オオマチシ"
"20213:飯山市","イイヤマシ"
"20214:茅野市","チノシ"
"20215:塩尻市","シオジリシ"
"20217:佐久市","サクシ"
"20218:千曲市","チクマシ"
"20219:東御市","トウミシ"
"20220:安曇野市","アヅミノシ"
"20303:南佐久郡小海町","ミナミサクグンコウミマチ"
"20304:南佐久郡川上村","ミナミサクグンカワカミムラ"
"20305:南佐久郡南牧村","ミナミサクグンミナミマキムラ"
"20306:南佐久郡南相木村","ミナミサクグンミナミアイキムラ"
"20307:南佐久郡北相木村","ミナミサクグンキタアイキムラ"
"20309:南佐久郡佐久穂町","ミナミサクグンサクホマチ"
"20321:北佐久郡軽井沢町","キタサクグンカルイザワマチ"
"20323:北佐久郡御代田町","キタサクグンミヨタマチ"
"20324:北佐久郡立科町","キタサクグンタテシナマチ"
"20349:小県郡青木村","チイサガタグンアオキムラ"
"20350:小県郡長和町","チイサガタグンナガワマチ"
"20361:諏訪郡下諏訪町","スワグンシモスワマチ"
"20362:諏訪郡富士見町","スワグンフジミマチ"
"20363:諏訪郡原村","スワグンハラムラ"
"20382:上伊那郡辰野町","カミイナグンタツノマチ"
"20383:上伊那郡箕輪町","カミイナグンミノワマチ"
"20384:上伊那郡飯島町","カミイナグンイイジママチ"
"20385:上伊那郡南箕輪村","カミイナグンミナミミノワムラ"
"20386:上伊那郡中川村","カミイナグンナカガワムラ"
"20388:上伊那郡宮田村","カミイナグンミヤダムラ"
"20402:下伊那郡松川町","シモイナグンマツカワマチ"
"20403:下伊那郡高森町","シモイナグンタカモリマチ"
"20404:下伊那郡阿南町","シモイナグンアナンチョウ"
"20407:下伊那郡阿智村","シモイナグンアチムラ"
"20409:下伊那郡平谷村","シモイナグンヒラヤムラ"
"20410:下伊那郡根羽村","シモイナグンネバムラ"
"20411:下伊那郡下條村","シモイナグンシモジョウムラ"
"20412:下伊那郡売木村","シモイナグンウルギムラ"
"20413:下伊那郡天龍村","シモイナグンテンリュウムラ"
"20414:下伊那郡泰阜村","シモイナグンヤスオカムラ"
"20415:下伊那郡喬木村","シモイナグンタカギムラ"
"20416:下伊那郡豊丘村","シモイナグントヨオカムラ"
"20417:下伊那郡大鹿村","シモイナグンオオシカムラ"
"20422:木曽郡上松町","キソグンアゲマツマチ"
"20423:木曽郡南木曽町","キソグンナギソマチ"
"20425:木曽郡木祖村","キソグンキソムラ"
"20429:木曽郡王滝村","キソグンオウタキムラ"
"20430:木曽郡大桑村","キソグンオオクワムラ"
"20432:木曽郡木曽町","キソグンキソマチ"
"20446:東筑摩郡麻績村","ヒガシチクマグンオミムラ"
"20448:東筑摩郡生坂村","ヒガシチクマグンイクサカムラ"
"20450:東筑摩郡山形村","ヒガシチクマグンヤマガタムラ"
"20451:東筑摩郡朝日村","ヒガシチクマグンアサヒムラ"
"20452:東筑摩郡筑北村","ヒガシチクマグンチクホクムラ"
"20481:北安曇郡池田町","キタアヅミグンイケダマチ"
"20482:北安曇郡松川村","キタアヅミグンマツカワムラ"
"20485:北安曇郡白馬村","キタアヅミグンハクバムラ"
"20486:北安曇郡小谷村","キタアヅミグンオタリムラ"
"20521:埴科郡坂城町","ハニシナグンサカキマチ"
"20541:上高井郡小布施町","カミタカイグンオブセマチ"
"20543:上高井郡高山村","カミタカイグンタカヤマムラ"
"20561:下高井郡山ノ内町","シモタカイグンヤマノウチマチ"
"20562:下高井郡木島平村","シモタカイグンキジマダイラムラ"
"20563:下高井郡野沢温泉村","シモタカイグンノザワオンセンムラ"
"20583:上水内郡信濃町","カミミノチグンシナノマチ"
"20588:上水内郡小川村","カミミノチグンオガワムラ"
"20590:上水内郡飯綱町","カミミノチグンイイヅナマチ"
"20602:下水内郡栄村","シモミノチグンサカエムラ"
"21201:岐阜市","ギフシ"
"21202:大垣市","オオガキシ"
"21203:高山市","タカヤマシ"
"21204:多治見市","タジミシ"
"21205:関市","セキシ"
"21206:中津川市","ナカツガワシ"
"21207:美濃市","ミノシ"
"21208:瑞浪市","ミズナミシ"
"21209:羽島市","ハシマシ"
"21210:恵那市","エナシ"
"21211:美濃加茂市","ミノカモシ"
"21212:土岐市","トキシ"
"21213:各務原市","カカミガハラシ"
"21214:可児市","カニシ"
"21215:山県市","ヤマガタシ"
"21216:瑞穂市","ミズホシ"
"21217:飛騨市","ヒダシ"
"21218:本巣市","モトスシ"
"21219:郡上市","グジョウシ"
"21220:下呂市","ゲロシ"
"21221:海津市","カイヅシ"
"21302:羽島郡岐南町","ハシマグンギナンチョウ"
"21303:羽島郡笠松町","ハシマグンカサマツチョウ"
"21341:養老郡養老町","ヨウロウグンヨウロウチョウ"
"21361:不破郡垂井町","フワグンタルイチョウ"
"21362:不破郡関ケ原町","フワグンセキガハラチョウ"
"21381:安八郡神戸町","アンパチグンゴウドチョウ"
"21382:安八郡輪之内町","アンパチグンワノウチチョウ"
"21383:安八郡安八町","アンパチグンアンパチチョウ"
"21401:揖斐郡揖斐川町","イビグンイビガワチョウ"
"21403:揖斐郡大野町","イビグンオオノチョウ"
"21404:揖斐郡池田町","イビグンイケダチョウ"
"21421:本巣郡北方町","モトスグンキタガタチョウ"
"21501:加茂郡坂祝町","カモグンサカホギチョウ"
"21502:加茂郡富加町","カモグントミカチョウ"
"21503:加茂郡川辺町","カモグンカワベチョウ"
"21504:加茂郡七宗町","カモグンヒチソウチョウ"
"21505:加茂郡八百津町","カモグンヤオツチョウ"
"21506:加茂郡白川町","カモグンシラカワチョウ"
"21507:加茂郡東白川村","カモグンヒガシシラカワムラ"
"21521:可児郡御嵩町","カニグンミタケチョウ"
"21604:大野郡白川村","オオノグンシラカワムラ"
"22101:静岡市葵区","シズオカシアオイク"
"22102:静岡市駿河区","シズオカシスルガク"
"22103:静岡市清水区","シズオカシシミズク"
"22131:浜松市中区","ハママツシナカク"
"22132:浜松市東区","ハママツシヒガシク"
"22133:浜松市西区","ハママツシニシク"
"22134:浜松市南区","ハママツシミナミク"
"22135:浜松市北区","ハママツシキタク"
"22136:浜松市浜北区","ハママツシハマキタク"
"22137:浜松市天竜区","ハママツシテンリュウク"
"22203:沼津市","ヌマヅシ"
"22205:熱海市","アタミシ"
"22206:三島市","ミシマシ"
"22207:富士宮市","フジノミヤシ"
"22208:伊東市","イトウシ"
"22209:島田市","シマダシ"
"22210:富士市","フジシ"
"22211:磐田市","イワタシ"
"22212:焼津市","ヤイヅシ"
"22213:掛川市","カケガワシ"
"22214:藤枝市","フジエダシ"
"22215:御殿場市","ゴテンバシ"
"22216:袋井市","フクロイシ"
"22219:下田市","シモダシ"
"22220:裾野市","スソノシ"
"22221:湖西市","コサイシ"
"22222:伊豆市","イズシ"
"22223:御前崎市","オマエザキシ"
"22224:菊川市","キクガワシ"
"22225:伊豆の国市","イズノクニシ"
"22226:牧之原市","マキノハラシ"
"22301:賀茂郡東伊豆町","カモグンヒガシイズチョウ"
"22302:賀茂郡河津町","カモグンカワヅチョウ"
"22304:賀茂郡南伊豆町","カモグンミナミイズチョウ"
"22305:賀茂郡松崎町","カモグンマツザキチョウ"
"22306:賀茂郡西伊豆町","カモグンニシイズチョウ"
"22325:田方郡函南町","タガタグンカンナミチョウ"
"22341:駿東郡清水町","スントウグンシミズチョウ"
"22342:駿東郡長泉町","スントウグンナガイズミチョウ"
"22344:駿東郡小山町","スントウグンオヤマチョウ"
"22424:榛原郡吉田町","ハイバラグンヨシダチョウ"
"22429:榛原郡川根本町","ハイバラグンカワネホンチョウ"
"22461:周智郡森町","シュウチグンモリマチ"
"23101:名古屋市千種区","ナゴヤシチクサク"
"23102:名古屋市東区","ナゴヤシヒガシク"
"23103:名古屋市北区","ナゴヤシキタク"
"23104:名古屋市西区","ナゴヤシニシク"
"23105:名古屋市中村区","ナゴヤシナカムラク"
"23106:名古屋市中区","ナゴヤシナカク"
"23107:名古屋市昭和区","ナゴヤシショウワク"
"23108:名古屋市瑞穂区","ナゴヤシミズホク"
"23109:名古屋市熱田区","ナゴヤシアツタク"
"23110:名古屋市中川区","ナゴヤシナカガワク"
"23111:名古屋市港区","ナゴヤシミナトク"
"23112:名古屋市南区","ナゴヤシミナミク"
"23113:名古屋市守山区","ナゴヤシモリヤマク"
"23114:名古屋市緑区","ナゴヤシミドリク"
"23115:名古屋市名東区","ナゴヤシメイトウク"
"23116:名古屋市天白区","ナゴヤシテンパクク"
"23201:豊橋市","トヨハシシ"
"23202:岡崎市","オカザキシ"
"23203:一宮市","イチノミヤシ"
"23204:瀬戸市","セトシ"
"23205:半田市","ハンダシ"
"23206:春日井市","カスガイシ"
"23207:豊川市","トヨカワシ"
"23208:津島市","ツシマシ"
"23209:碧南市","ヘキナンシ"
"23210:刈谷市","カリヤシ"
"23211:豊田市","トヨタシ"
"23212:安城市","アンジョウシ"
"23213:西尾市","ニシオシ"
"23214:蒲郡市","ガマゴオリシ"
"23215:犬山市","イヌヤマシ"
"23216:常滑市","トコナメシ"
"23217:江南市","コウナンシ"
"23219:小牧市","コマキシ"
"23220:稲沢市","イナザワシ"
"23221:新城市","シンシロシ"
"23222:東海市","トウカイシ"
"23223:大府市","オオブシ"
"23224:知多市","チタシ"
"23225:知立市","チリュウシ"
"23226:尾張旭市","オワリアサヒシ"
"23227:高浜市","タカハマシ"
"23228:岩倉市","イワクラシ"
"23229:豊明市","トヨアケシ"
"23230:日進市","ニッシンシ"
"23231:田原市","タハラシ"
"23232:愛西市","アイサイシ"
"23233:清須市","キヨスシ"
"23234:北名古屋市","キタナゴヤシ"
"23235:弥富市","ヤトミシ"
"23236:みよし市","ミヨシシ"
"23237:あま市","アマシ"
"23302:愛知郡東郷町","アイチグントウゴウチョウ"
"23304:愛知郡長久手町","アイチグンナガクテチョウ"
"23342:西春日井郡豊山町","ニシカスガイグントヨヤマチョウ"
"23361:丹羽郡大口町","ニワグンオオグチチョウ"
"23362:丹羽郡扶桑町","ニワグンフソウチョウ"
"23424:海部郡大治町","アマグンオオハルチョウ"
"23425:海部郡蟹江町","アマグンカニエチョウ"
"23427:海部郡飛島村","アマグントビシマムラ"
"23441:知多郡阿久比町","チタグンアグイチョウ"
"23442:知多郡東浦町","チタグンヒガシウラチョウ"
"23445:知多郡南知多町","チタグンミナミチタチョウ"
"23446:知多郡美浜町","チタグンミハマチョウ"
"23447:知多郡武豊町","チタグンタケトヨチョウ"
"23501:額田郡幸田町","ヌカタグンコウタチョウ"
"23561:北設楽郡設楽町","キタシタラグンシタラチョウ"
"23562:北設楽郡東栄町","キタシタラグントウエイチョウ"
"23563:北設楽郡豊根村","キタシタラグントヨネムラ"
"24201:津市","ツシ"
"24202:四日市市","ヨッカイチシ"
"24203:伊勢市","イセシ"
"24204:松阪市","マツサカシ"
"24205:桑名市","クワナシ"
"24207:鈴鹿市","スズカシ"
"24208:名張市","ナバリシ"
"24209:尾鷲市","オワセシ"
"24210:亀山市","カメヤマシ"
"24211:鳥羽市","トバシ"
"24212:熊野市","クマノシ"
"24214:いなべ市","イナベシ"
"24215:志摩市","シマシ"
